"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
783,"NCT04417335","Reducing COVID-19 Related Hospital Admission in Elderly by BCG Vaccination",,"Active, not recruiting","No Results Available","COVID-19","Biological: BCG vaccine|Biological: Placebo","SARS-CoV-2 related hospital admission|the duration of hospital admission due to documented COVID-19|the cumulative incidence of documented SARS-CoV-2 infection|the cumulative incidence of self-reported acute respiratory symptoms or fever|the cumulative incidence of death due to documented SARS-CoV-2 infection|the cumulative incidence of hospital admission for any reason|the cumulative incidence of Intensive Care Admission due to documented SARS-CoV-2 infection","Radboud University","All","60 Years and older   (Adult, Older Adult)","Phase 4","2014","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","NL73430.091.20|2020-001591-15","April 16, 2020","May 2021","May 2021","June 4, 2020",,"June 4, 2020","Radboud University, Nijmegen, Gelderland, Netherlands|UMC Utrecht, Utrecht, Netherlands",,"https://ClinicalTrials.gov/show/NCT04417335"
784,"NCT04348409","Efficacy and Safety of Nitazoxanide for the Treatment of Hospitalized Patients With Moderate COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: Nitazoxanide Tablets|Drug: Placebo","Viral load|Evolution of acute respiratory syndrome|Change in Clinical Condition|Hospital discharge|Rate of mortality within 21-days|Need of mechanical ventilation","Azidus Brasil|Farmoquimica S.A.|Hospital Vera Cruz|Hospital Casa de Saúde - Vera Cruz - Campinas - SP - Brazil|Centro de Genomas - UNIFESP|Emilio Ribas Institute of Infectious Diseases","All","18 Years and older   (Adult, Older Adult)","Not Applicable","50","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NITFQM0320OR","May 25, 2020","July 31, 2020","July 31, 2020","April 16, 2020",,"June 9, 2020","Hospital Vera Cruz, Campinas, São Paulo, Brazil|Centro de Genomas, São Paulo, Brazil|Hospital Emílio Ribas, São Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT04348409"
785,"NCT04377711","A Study of the Safety and Efficacy of Ciclesonide in the Treatment of Non-hospitalized COVID-19 Patients",,"Recruiting","No Results Available","COVID-19","Drug: Ciclesonide|Drug: Placebo","Percentage of patients hospital admission or death by day 30|All-cause mortality by day 30|COVID-19-related mortality by day 30|Percentage of patients with subsequent emergency department visit or hospital admission for reasons attributable to COVID 19 by day 30|Time to hospital admission or death|Time to alleviation of COVID-19-related symptoms of cough, dyspnea, chills, and feeling feverish, defined as symptom-free for a continuous period of more than 24 hours (ie, > 3 AM/PM assessments)|Change from baseline in oxygen saturation levels|Change from baseline in COVID-19 viral load in nasopharyngel sample nasal secretions at day 30|Safety will be assessed based on adverse events.","Covis Pharma S.à.r.l.","All","12 Years to 100 Years   (Child, Adult, Older Adult)","Phase 3","400","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","ALV-020-001","June 8, 2020","September 1, 2020","December 1, 2020","May 6, 2020",,"June 11, 2020","University of Buffalo, Buffalo, New York, United States",,"https://ClinicalTrials.gov/show/NCT04377711"
786,"NCT04353518","Clinical Trial to Evaluate Mycobacterium w in Preventing COVID-19 in Subjects at Risk of Getting Infected With COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Drug: Suspension of heat killed (autoclaved) Mycobacterium w|Other: Placebo","Number of subject acquiring COVID-19 infection|Incidence of Adverse Event and Serious Adverse Event (safety and tolerability)|Number of subject developing Upper Respiratory Tract Infection (URTI) symptoms|Number of subject developing severe COVID-19 infection based on ordinal scale","Cadila Pharnmaceuticals|Council of Scientific and Industrial Research, India","All","18 Years and older   (Adult, Older Adult)","Phase 3","4000","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","CRSC20005","April 30, 2020","March 30, 2021","May 30, 2021","April 20, 2020",,"April 22, 2020",,,"https://ClinicalTrials.gov/show/NCT04353518"
787,"NCT04371744","QT-Logs : Artificial Intelligence for QT Interval Analysis of ECG From Smartwatches in Patient Receiving Treatment for Covid-19","QT-Logs","Completed","No Results Available","COVID-19",,"Corrected QT (QTc) interval measurement","Assistance Publique Hopitaux De Marseille","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CIL 2020-52","April 17, 2020","June 4, 2020","June 5, 2020","May 1, 2020",,"June 9, 2020","Assistance Publique Hôpitaux de Marseille, Marseille, France",,"https://ClinicalTrials.gov/show/NCT04371744"
788,"NCT04360551","Pilot Clinical Trial of the Safety and Efficacy of Telmisartan for the Mitigation of Pulmonary and Cardiac Complications in COVID-19 Patients",,"Not yet recruiting","No Results Available","COVID-19","Drug: Telmisartan 40mg|Drug: Placebo","Maximum clinical severity of disease|Incidence of treatment emergent adverse events|Renin angiotensin system peptides|Plasma biomarkers","University of Hawaii","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","H051","July 1, 2020","June 30, 2021","June 30, 2021","April 24, 2020",,"April 24, 2020","University of Hawaii - Manoa, John A Burns School of Medicine UH Clinics at Kakaako, Honolulu, Hawaii, United States",,"https://ClinicalTrials.gov/show/NCT04360551"
789,"NCT04343989","A Randomized Placebo-controlled Safety and Dose-finding Study for the Use of the IL-6 Inhibitor Clazakizumab in Patients With Life-threatening COVID-19 Infection",,"Recruiting","No Results Available","COVID-19","Drug: Clazakizumab 25 mg|Drug: Clazakizumab 12.5 mg|Other: Placebo","Cumulative incidence of serious adverse events associated with clazakizumab or placebo|Cumulative incidence of intubation|Time to extubation|Length of ICU stay|Number of patients who present a decrease in C-reactive protein|Patient Survival","NYU Langone Health","All","18 Years and older   (Adult, Older Adult)","Phase 2","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","s20-00392","March 31, 2020","July 1, 2020","July 1, 2020","April 14, 2020",,"May 6, 2020","New York University School of Medicine, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04343989"
790,"NCT04348474","Efficacy and Safety of Hydroxychloroquine and Azithromycin for the Treatment of Ambulatory Patients With Mild COVID-19",,"Suspended","No Results Available","Covid-19","Drug: Hydroxychloroquine Sulfate|Drug: Azithromycin Tablets","Change in Clinical Condition|Hospitalization|Rate of mortality within 28-days|Change in Clinical Condition related to comorbidity","Azidus Brasil","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","200","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HIAPRE0420OR","April 20, 2020","June 30, 2020","July 31, 2020","April 16, 2020",,"April 22, 2020","Prevent Senior Private Operadora de Saúde LTDA., São Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT04348474"
791,"NCT04391686","Resting Energy Expenditure of the COronaVirus (COVID19) Patient in Reanimation Context","RECOVERY","Not yet recruiting","No Results Available","COVID-19|Obesity","Diagnostic Test: indirect calorimetry","The resting energy expenditure (in Kcal / 24h) measured by indirect calorimetry during the stay in intensive care.","Centre Hospitalier Arras","All","18 Years and older   (Adult, Older Adult)",,"90","Other","Observational","Observational Model: Cohort|Time Perspective: Other","2020-04","June 1, 2020","December 31, 2020","December 31, 2020","May 18, 2020",,"May 18, 2020","Arras general hospital, Arras, France",,"https://ClinicalTrials.gov/show/NCT04391686"
792,"NCT04445493","EPISODE-PS-COVID: hEad Pulse for Ischemic StrOke DEtection Prehospital Study During the COVID-19 Pandemic ( EPISODEPSCOVID )","EPISODE-PH-COV","Not yet recruiting","No Results Available","Stroke, Acute|COVID-19","Device: MindRhythm Harmony","Prevalence of COVID-19 infection in suspected stroke population|Quality head pulse recordings","MindRhythm, Inc.|Wayne State University","All","18 Years and older   (Adult, Older Adult)",,"250","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","EPISODE-PH-COVID","July 2020","December 2020","June 2021","June 24, 2020",,"June 24, 2020",,,"https://ClinicalTrials.gov/show/NCT04445493"
793,"NCT04328493","The Vietnam Chloroquine Treatment on COVID-19","VICO","Recruiting","No Results Available","SARS-CoV-2 Infection|COVID-19","Drug: Chloroquine phosphate","Viral clearance time|Lengh of hospital stay|Ventilator free days|Oxygene free days|Time to death|Adverse events|fever clearance time|Ordinal outcome scale|Development of ARDS","Oxford University Clinical Research Unit, Vietnam|Ministry of Health, Vietnam|Hospital for Tropical Diseases, Ho Chi Minh City, Vietnam|Cu Chi COVID Hospital, Vietnam|Can Gio COVID Hospital, Vietnam|Cho Ray Hospital|National Hospital for Tropical Diseases, Hanoi, Vietnam|Department of Health, Ho Chi Minh city","All","18 Years and older   (Adult, Older Adult)","Phase 2","250","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","COVID","April 7, 2020","April 1, 2021","April 1, 2022","March 31, 2020",,"May 29, 2020","National Hospital for Tropical Diseases, Hanoi, Vietnam|Can Gio COVID Hospital, Ho Chi Minh City, Vietnam|Cho Ray Hospital, Ho Chi Minh City, Vietnam|Cu Chi COVID Hospital, Ho Chi Minh City, Vietnam|Hospital for Tropical Diseases, Ho Chi Minh City, Vietnam",,"https://ClinicalTrials.gov/show/NCT04328493"
794,"NCT04348435","A Randomized, Double-Blind, Placebo-Controlled Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Allogeneic Mesenchymal Stem Cell Therapy (HB-adMSCs) to Provide Protection Against COVID-19",,"Enrolling by invitation","No Results Available","COVID-19","Drug: HB-adMSCs|Drug: Placebos","Incidence of hospitalization for COVID-19|Incidence of symptoms associated with COVID-19|Absence of upper/lower respiratory infection|Leukocyte differential|C Reactive protein|TNF alpha|IL-6|IL-10|Glucose|Calcium|Albumin|Total protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Total bilirubin|white blood cells|red blood cells|hemoglobin|hematocrit|mean corpuscular volume|mean corpuscular hemoglobin|mean corpuscular hemoglobin concentration|red cell distribution width|neutrophils|Lymphs|Monocytes|Eosinophils|Basophils|Absolute neutrophils|Absolute lymphs|Absolute monocytes|Absolute eosinophils|Absolute basophils|Immature granulocytes|Platelets|Prothrombin time|INR|SF-36|PHQ-9","Hope Biosciences|Hope Biosciences Stem Cell Research Foundation","All","Child, Adult, Older Adult","Phase 2","100","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","Allogeneic COVID-19 Protection","April 23, 2020","December 31, 2020","April 30, 2021","April 16, 2020",,"April 30, 2020","Hope Biosciences Stem Cell Research Foundation, Sugar Land, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04348435"
795,"NCT04329572","Efficacy and Safety of Hydroxychloroquine and Azithromycin for the Treatment of Hospitalized Patients With Moderate to Severe COVID-19",,"Suspended","No Results Available","COVID-19","Drug: Hydroxychloroquine Sulfate|Drug: Azithromycin Tablets","Evolution of acute respiratory syndrome, oxygen saturation hemodynamic stability|Viral load|Change in Clinical Condition|Evolution of Acute Respiratory Syndrome|Hospital discharge|Rate of mortality within 28-days","Azidus Brasil","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","400","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HIAPRE0320OR","April 23, 2020","May 31, 2020","June 30, 2020","April 1, 2020",,"April 22, 2020","Prevent Senior Private Operadora de Saúde LTDA., São Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT04329572"
796,"NCT04393727","Transfusion of Convalescent Plasma for the Early Treatment of Patients With COVID-19","TSUNAMI","Recruiting","No Results Available","COVID|SARS-CoV 2","Biological: CONVALESCENT PLASMA","Need of invasive mechanical ventilation|Mortality rates|Time to invasive mechanical ventilation|Time to virologic cure|Length of hospital stay|Adverse events","Azienda Ospedaliero, Universitaria Pisana","All","18 Years and older   (Adult, Older Adult)","Phase 2","126","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TSUNAMI","May 1, 2020","September 30, 2020","October 30, 2020","May 19, 2020",,"May 20, 2020","Azienda Ospedaliero Universitaria Pisana, Pisa, Italy",,"https://ClinicalTrials.gov/show/NCT04393727"
797,"NCT04383613","Prone Positioning for Patients on General Medical Wards With COVID19","COVID-PRONE","Recruiting","No Results Available","Covid-19|ARDS","Other: Prone positioning","Composite outcome of in-hospital all-cause mortality, invasive or non-invasive mechanical ventilation, or need for FiO2 of 60% or more|Length of hospitalization|Adverse events of prone positioning (i.e., venous thromboembolism, pneumonia)|In-hospital all-cause mortality|Invasive or non-invasive mechanical ventilation|Need for FiO2 of 60% or more|Ventilator-free days (i.e., the number of days in hospital the patient was not on a ventilator)|Composite outcome of in-hospital all-cause mortality, invasive or non-invasive mechanical ventilation, or need for FiO2 of 60% or more assessed at 30 days, 90 days and 1 year|Time spent in prone positioning among patients achieving the composite outcome of in-hospital all-cause mortality, invasive or non-invasive mechanical ventilation, or need for FiO2 of 60% or more","St. Michael's Hospital, Toronto|Sunnybrook Health Sciences Centre|Sinai Health System|Toronto General Hospital|University Health Network, Toronto|William Osler Health System","All","18 Years and older   (Adult, Older Adult)","Not Applicable","350","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Other","2020-1","May 15, 2020","December 11, 2020","December 11, 2020","May 12, 2020",,"June 17, 2020","William Osler Health System, Brampton, Ontario, Canada|William Osler Health System, Etobicoke, Ontario, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|St. Michael's Hospital, Toronto, Ontario, Canada|Sinai Health System, Toronto, Ontario, Canada|Toronto General Hospital, Toronto, Ontario, Canada|Toronto Western Hospital, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04383613"
798,"NCT04447131","Effect of COVID-19 on Platelet Aggregation",,"Recruiting","No Results Available","COVID-19|SARS-CoV-2","Other: venipuncture in peripheral vein","Platelet aggregation analyzed by Multiplate-ADP|Platelet aggregation by Multiplate-ASPI and Multiplate-TRAP in patients hospitalized for COVID-19 versus healthy controls.|Reticulated platelet fraction in patients hospitalized for COVID-19 versus healthy controls.|Platelet aggregation for COVID-19 versus patients hospitalized for respiratory symptoms but negative for Influenza and COVID-19 research.|Reticulated platelet fraction in patients hospitalized for COVID-19 versus patients hospitalized for respiratory symptoms but negative for influenza or COVID-19 research.|Platelet aggregation in patients hospitalized for COVID-19 versus patients hospitalized for Influenza.|Reticulated platelet fraction in patients hospitalized for COVID-19 versus patients hospitalized for Influenza.|Platelete aggreggation versus composite outcome of death from any cause, thrombotic events, need for ICU, need for intubation during hospitalization|Reticulated platelet fraction versus composite outcome of death from any cause, thrombotic events, need for ICU, need for intubation during hospitalization|Platelet aggregation versus time (days) of total hospitalization and in the ICU|Reticulated platelet fraction versus time (days) of total hospitalization and in the ICU|Platelet aggregation versus WHO ordinal scale of outcomes for COVID-19","University of Sao Paulo|Fundação de Amparo à Pesquisa do Estado de São Paulo","All","18 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","SDC 5089/20/118","April 29, 2020","July 30, 2020","December 30, 2020","June 25, 2020",,"June 25, 2020","Instituto do Coracao (InCor), Hospital das Clinicas HCFMUSP, Faculdade de Medicina, Universidade de Sao Paulo, Sao Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT04447131"
799,"NCT04371471","Covid-19 Pandemic Triage Score","STC-19","Completed","No Results Available","Sars-CoV2|Covid19","Diagnostic Test: STC-19 score","STC-19 score","Groupe Hospitalier de la Rochelle Ré Aunis|Numa Health International","All","18 Years and older   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","2020/P04/288","March 1, 2020","April 30, 2020","April 30, 2020","May 1, 2020",,"June 25, 2020","Groupe Hospitalier de la Rochelle Ré Aunis, La Rochelle, France",,"https://ClinicalTrials.gov/show/NCT04371471"
